ACS,Occupation Name
0.0,N/A (Less than 16 years old/unemployed who never worked/NILF who last worked more than 5 years ago.)
10.0,Chief executivesand legislators2
20.0,General and operations managers
40.0,Advertising and promotions managers
50.0,Marketing and sales managers
60.0,Public relations and fundraising managers
100.0,Administrative services managers
110.0,Computer and information systems managers
120.0,Financial managers
135.0,Compensation and benefits managers
136.0,Human resources managers
137.0,Training and development managers
140.0,Industrial production managers
150.0,Purchasing managers
160.0,"Transportation, storage, and distribution managers"
205.0,"Farmers, ranchers, and other agricultural managers"
220.0,Construction managers
230.0,Education administrators
300.0,Architectural and engineering managers
310.0,Food service managers
330.0,Gaming managers
340.0,Lodging managers
350.0,Medical and health service managers
360.0,Natural science managers
410.0,"Property, real estate, and community association managers"
420.0,Social and community service managers
4465.0,"Morticians, undertakers, and funeral directors"
430.0,"Miscellaneous managers, including funeral service managers (0325) and postmasters and mail superintendents"
500.0,"Agents and business managers of artists, performers, and atheletes"
510.0,"Buyers and purchasing agents, farm products"
520.0,"Wholesale and retail buyers, except farm products"
530.0,"Purchasing agents, except wholesale, retail, and farm products"
540.0,"Claims adjusters, appraisers, examiners, and investigators"
565.0,Compliance officers
3945.0,Transportation security screeners
600.0,Cost estimators
630.0,Human resource workers(contains part of 6000)
640.0,"Compensation, benefits, and job analysis specialists"
650.0,Training and development specialists
700.0,Logisticians
710.0,Management analysts
726.0,Fundraisers(part of 4960)
2825.0,(Public relations specialists)
725.0,"Meeting, convention, and event planners"
735.0,Market research analysts and marketing specialists
740.0,"Business operations specialists, all others"
425.0,Emergency management directors
800.0,Accountants and auditors
810.0,Appraisers and assessors of real estate
820.0,Budget analysts
830.0,Credit analysts
840.0,Financial analysts
850.0,Personal financial advisors
860.0,Insurance underwriters
900.0,Financial examiners
910.0,Credit counselors and loan officers
930.0,"Tax examiners and collectors, and revenue agents"
940.0,Tax preparers
950.0,"Financial specialists, all other"
1005.0,Computer and information research scientists
1006.0,Computer systems analysts
1107.0,"Computer occupations, all other"
1106.0,Computer network architects
1007.0,Information security analysts
1030.0,Web developers
1050.0,Computer support specialists
1010.0,Computer programmers
1020.0,"Software developers, applications and systems software"
1060.0,Database Administrators
1105.0,Network and Computer Systems Administrators(contains part of 1110)
1200.0,Actuaries
1220.0,Operations Research Analysts
1240.0,"Miscellaneous mathematical science occupations, including mathematicians and statisticians"
1300.0,"Architects, Except Naval"
1310.0,"Surveyors, Cartographers, and Photogrammetrists"
1320.0,Aerospace Engineers
1340.0,Biomedical and agricultural engineers
1350.0,Chemical Engineers
1360.0,Civil Engineers
1400.0,Computer Hardware Engineers
1410.0,Electrical and Electronics Engineers
1420.0,Environmental Engineers
1430.0,"Industrial Engineers, including Health and Safety"
1440.0,Marine Engineers and Naval Architects
1450.0,Materials Engineers
1460.0,Mechanical Engineers
1520.0,"Petroleum, mining and geological engineers, including mining safety engineers"
1530.0,Miscellaneous engineeers including nuclear engineers
1540.0,Drafters
1550.0,"Engineering Technicians, Except Drafters"
1560.0,Surveying and Mapping Technicians
1600.0,Agricultural and Food Scientists
1610.0,Biological Scientists
1640.0,Conservation Scientists and Foresters
1650.0,"Medical Scientists, and Life Scientists, All Others"
1700.0,Astronomers and Physicists
1710.0,Atmospheric and Space Scientists
1720.0,Chemists and Materials Scientists
1740.0,Environmental Scientists and Geoscientists
1760.0,"Physical Scientists, All Other"
1800.0,Economists
1815.0,Survey researchers(part of 1860)
1820.0,Psychologists
1860.0,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists"
1840.0,Urban and Regional Planners
1900.0,Agricultural and Food Science Technicians
1910.0,Biological Technicians
1920.0,Chemical Technicians
1930.0,Geological and Petroleum Technicians
1940.0,Nuclear Technicians
1950.0,Social Science Research Assistants
1965.0,"Miscellaneous Life, Physical, and Social Science Technicians"
2000.0,Counselors
2010.0,Social Workers
2015.0,Probation Officers and Correctional Treatment Specialists
2016.0,Social and Human Service Assistants
2025.0,"Miscellaneous Community and Social Service Specialists, Including Health Educators and Community Health Workers"
2040.0,Clergy
2050.0,"Directors, Religious Activities and Education"
2060.0,"Religious Workers, All Other"
2100.0,"Lawyers, and judges, magistrates, and other judicial workers"
2105.0,Judicial law clerks
2160.0,Miscellaneous legal support workers
2145.0,Paralegals and legal assistants
2200.0,Postsecondary Teachers
2300.0,Preschool and Kindergarten Teachers
2310.0,Elementary and Middle School Teachers
2320.0,Secondary School Teachers
2330.0,Special Education Teachers
2340.0,Other Teachers and Instructors
2400.0,"Archivists, Curators, and Museum Technicians"
2430.0,Librarians
2440.0,Library Technicians
2540.0,Teacher Assistants
