variable,sentence_parts
countyfips,demographics
farm,house
rent,house
foodstmp,work
vehicles,house
ssmc,house
multgen,house
sex,demographics
age,demographics
marst,demographics
marrno,demographics
yrmarr,demographics
divinyr,demographics
widinyr,demographics
bpl,origin
ancestr1d,origin
ancestr2d,origin
citizen,origin
yrnatur,origin
yrimmig,origin
yrsusa1,origin
language,language
hcovany,health
educd,education
gradeattd,education
empstat,work
labforce,work
occ,work
uhrswork,work
looking,work
availble,work
inctot,money
incwage,money
poverty,money
migrate1,moving
migplac1,moving
vetstat,veteran
pwstate2,work
tranwork,commute
carpool,commute
riders,commute
trantime,commute
departs,commute
arrives,commute
occ_lemma,work
occ_tag,work
occ_nnps,work
